Number,Player,col_2,Country,Team,Goals (Penalty),fecha_create,fecha_update
96,Trent Alexander-Arnold,,England,Liverpool FC,3 (0),2025-05-24,2025-05-24
97,Joe Aribo,,Nigeria,Southampton FC,3 (0),2025-05-24,2025-05-24
98,Carlos Baleba,,Cameroon,Brighton & Hove Albion,3 (0),2025-05-24,2025-05-24
99,Ross Barkley,,England,Aston Villa,3 (0),2025-05-24,2025-05-24
100,Dominic Calvert-Lewin,,England,Everton FC,3 (0),2025-05-24,2025-05-24
101,Trevoh Chalobah,,England,Chelsea FC / Crystal Palace,3 (0),2025-05-24,2025-05-24
102,Jérémy Doku,,Belgium,Manchester City,3 (0),2025-05-24,2025-05-24
103,Abdoulaye Doucouré,,Mali,Everton FC,3 (0),2025-05-24,2025-05-24
104,Niclas Füllkrug,,Germany,West Ham United,3 (0),2025-05-24,2025-05-24
105,Gabriel Jesus,,Brazil,Arsenal FC,3 (0),2025-05-24,2025-05-24
106,Gabriel Magalhães,,Brazil,Arsenal FC,3 (0),2025-05-24,2025-05-24
107,Marc Guéhi,,England,Crystal Palace,3 (0),2025-05-24,2025-05-24
108,Jack Hinshelwood,,England,Brighton & Hove Albion,3 (0),2025-05-24,2025-05-24
109,George Hirst,,England,Ipswich Town,3 (0),2025-05-24,2025-05-24
110,Dean Huijsen,,Spain,AFC Bournemouth,3 (0),2025-05-24,2025-05-24
111,Omari Hutchinson,,Jamaica,Ipswich Town,3 (0),2025-05-24,2025-05-24
112,João Gomes,,Brazil,Wolverhampton Wanderers,3 (0),2025-05-24,2025-05-24
113,Curtis Jones,,England,Liverpool FC,3 (0),2025-05-24,2025-05-24
114,Jota Silva,,Portugal,Nottingham Forest,3 (0),2025-05-24,2025-05-24
115,Michael Keane,,England,Everton FC,3 (0),2025-05-24,2025-05-24
116,Donyell Malen,,Netherlands,Aston Villa,3 (0),2025-05-24,2025-05-24
117,Marco Asensio,,Spain,Aston Villa,3 (0),2025-05-24,2025-05-24
118,James McAtee,,England,Manchester City,3 (0),2025-05-24,2025-05-24
119,Eddie Nketiah,,England,Arsenal FC / Crystal Palace,3 (0),2025-05-24,2025-05-24
120,Christopher Nkunku,,France,Chelsea FC,3 (0),2025-05-24,2025-05-24
121,Amadou Onana,,Belgium,Aston Villa,3 (0),2025-05-24,2025-05-24
122,Pablo Sarabia,,Spain,Wolverhampton Wanderers,3 (0),2025-05-24,2025-05-24
123,Jadon Sancho,,England,Chelsea FC,3 (0),2025-05-24,2025-05-24
124,Pape Sarr,,Senegal,Tottenham Hotspur,3 (0),2025-05-24,2025-05-24
125,Marcus Tavernier,,England,AFC Bournemouth,3 (0),2025-05-24,2025-05-24
126,Youri Tielemans,,Belgium,Aston Villa,3 (0),2025-05-24,2025-05-24
127,Virgil van Dijk,,Netherlands,Liverpool FC,3 (0),2025-05-24,2025-05-24
128,Joshua Zirkzee,,Netherlands,Manchester United,3 (0),2025-05-24,2025-05-24
129,Adama Traoré,,Spain,Fulham FC,2 (0),2025-05-24,2025-05-24
130,Simon Adingra,,Ivory Coast,Brighton & Hove Albion,2 (0),2025-05-24,2025-05-24
131,Ola Aina,,Nigeria,Nottingham Forest,2 (0),2025-05-24,2025-05-24
132,Elliot Anderson,,Scotland,Nottingham Forest,2 (0),2025-05-24,2025-05-24
133,Andreas Pereira,,Brazil,Fulham FC,2 (0),2025-05-24,2025-05-24
134,Cameron Archer,,England,Southampton FC,2 (0),2025-05-24,2025-05-24
135,Adam Armstrong,,England,Southampton FC,2 (0),2025-05-24,2025-05-24
136,Yasin Ayari,,Sweden,Brighton & Hove Albion,2 (0),2025-05-24,2025-05-24
137,Jan Bednarek,,Poland,Southampton FC,2 (0),2025-05-24,2025-05-24
138,Jean Bellegarde,,France,Wolverhampton Wanderers,2 (0),2025-05-24,2025-05-24
139,Rodrigo Bentancur,,Uruguay,Tottenham Hotspur,2 (0),2025-05-24,2025-05-24
140,Yves Bissouma,,Mali,Tottenham Hotspur,2 (0),2025-05-24,2025-05-24
141,David Brooks,,Wales,AFC Bournemouth,2 (0),2025-05-24,2025-05-24
142,Tom Cairney,,England,Fulham FC,2 (0),2025-05-24,2025-05-24
143,Riccardo Calafiori,,Italy,Arsenal FC,2 (0),2025-05-24,2025-05-24
144,Ryan Christie,,Scotland,AFC Bournemouth,2 (0),2025-05-24,2025-05-24
145,Nathan Collins,,Ireland,Brentford FC,2 (0),2025-05-24,2025-05-24
146,Mikkel Damsgaard,,Denmark,Brentford FC,2 (0),2025-05-24,2025-05-24
147,Matthijs de Ligt,,Netherlands,Manchester United,2 (0),2025-05-24,2025-05-24
148,Tyler Dibling,,England,Southampton FC,2 (0),2025-05-24,2025-05-24
149,Matt Doherty,,Ireland,Wolverhampton Wanderers,2 (0),2025-05-24,2025-05-24
150,Bilal El Khannouss,,Morocco,Leicester City,2 (0),2025-05-24,2025-05-24
151,Emerson,,Italy,West Ham United,2 (0),2025-05-24,2025-05-24
152,Julio Enciso,,Paraguay,Brighton & Hove Albion / Ipswich Town,2 (0),2025-05-24,2025-05-24
153,Fabio Carvalho,,Portugal,Brentford FC,2 (0),2025-05-24,2025-05-24
154,Gonçalo Guedes,,Portugal,Wolverhampton Wanderers,2 (0),2025-05-24,2025-05-24
155,Hee-chan Hwang,,South Korea,Wolverhampton Wanderers,2 (0),2025-05-24,2025-05-24
156,James Justin,,England,Leicester City,2 (0),2025-05-24,2025-05-24
157,Milos Kerkez,,Hungary,AFC Bournemouth,2 (0),2025-05-24,2025-05-24
158,Ezri Konsa,,England,Aston Villa,2 (0),2025-05-24,2025-05-24
159,Tariq Lamptey,,Ghana,Brighton & Hove Albion,2 (0),2025-05-24,2025-05-24
160,Lisandro Martínez,,Argentina,Manchester United,2 (0),2025-05-24,2025-05-24
161,Mateus Fernandes,,Portugal,Southampton FC,2 (0),2025-05-24,2025-05-24
162,Murillo,,Brazil,Nottingham Forest,2 (0),2025-05-24,2025-05-24
163,Jake O'Brien,,Ireland,Everton FC,2 (0),2025-05-24,2025-05-24
164,Nico O'Reilly,,England,Manchester City,2 (0),2025-05-24,2025-05-24
165,Martin Ødegaard,,Norway,Arsenal FC,2 (1),2025-05-24,2025-05-24
166,Pedro Porro,,Spain,Tottenham Hotspur,2 (0),2025-05-24,2025-05-24
167,Jaden Philogene,,England,Aston Villa / Ipswich Town,2 (0),2025-05-24,2025-05-24
168,Ethan Pinnock,,Jamaica,Brentford FC,2 (0),2025-05-24,2025-05-24
169,Rodrigo Gomes,,Portugal,Wolverhampton Wanderers,2 (0),2025-05-24,2025-05-24
170,William Saliba,,France,Arsenal FC,2 (0),2025-05-24,2025-05-24
171,John Stones,,England,Manchester City,2 (0),2025-05-24,2025-05-24
172,Mathys Tel,,France,Tottenham Hotspur,2 (1),2025-05-24,2025-05-24
173,Enes Ünal,,Turkey,AFC Bournemouth,2 (0),2025-05-24,2025-05-24
174,Aaron Wan-Bissaka,,England,West Ham United,2 (0),2025-05-24,2025-05-24
175,Ryan Yates,,England,Nottingham Forest,2 (0),2025-05-24,2025-05-24
176,Tosin Adarabioyo,,England,Chelsea FC,1 (0),2025-05-24,2025-05-24
177,Emmanuel Agbadou,,Ivory Coast,Wolverhampton Wanderers,1 (0),2025-05-24,2025-05-24
178,Carlos Alcaraz,,Argentina,Everton FC / Southampton FC,1 (0),2025-05-24,2025-05-24
179,Michail Antonio,,Jamaica,West Ham United,1 (0),2025-05-24,2025-05-24
180,Taiwo Awoniyi,,Nigeria,Nottingham Forest,1 (0),2025-05-24,2025-05-24
181,Leon Bailey,,Jamaica,Aston Villa,1 (0),2025-05-24,2025-05-24
182,Calvin Bassey,,Nigeria,Fulham FC,1 (0),2025-05-24,2025-05-24
183,Nathan Broadhead,,Wales,Ipswich Town,1 (0),2025-05-24,2025-05-24
184,Dan Burn,,England,Newcastle United,1 (0),2025-05-24,2025-05-24
185,Moisés Caicedo,,Ecuador,Chelsea FC,1 (0),2025-05-24,2025-05-24
186,Jens Cajuste,,Sweden,Ipswich Town,1 (0),2025-05-24,2025-05-24
187,Carlos Soler,,Spain,West Ham United,1 (0),2025-05-24,2025-05-24
188,Casemiro,,Brazil,Manchester United,1 (0),2025-05-24,2025-05-24
189,Matty Cash,,Poland,Aston Villa,1 (0),2025-05-24,2025-05-24
190,Conor Chaplin,,England,Ipswich Town,1 (0),2025-05-24,2025-05-24
191,Ben Chilwell,,England,Crystal Palace,1 (0),2025-05-24,2025-05-24
192,Conor Coady,,England,Leicester City,1 (0),2025-05-24,2025-05-24
193,Levi Colwill,,England,Chelsea FC,1 (0),2025-05-24,2025-05-24
194,Lewis Cook,,England,AFC Bournemouth,1 (0),2025-05-24,2025-05-24
195,Patson Daka,,Zambia,Leicester City,1 (0),2025-05-24,2025-05-24
196,Leif Davis,,England,Ipswich Town,1 (0),2025-05-24,2025-05-24
197,Bobby De Cordova-Reid,,Jamaica,Leicester City,1 (0),2025-05-24,2025-05-24
198,Justin Devenny,,Northern Ireland,Crystal Palace,1 (0),2025-05-24,2025-05-24
199,Axel Disasi,,France,Aston Villa / Chelsea FC,1 (0),2025-05-24,2025-05-24
200,Flynn Downes,,England,Southampton FC,1 (0),2025-05-24,2025-05-24
201,Harvey Elliott,,England,Liverpool FC,1 (0),2025-05-24,2025-05-24
202,Romain Esse,,England,Crystal Palace,1 (0),2025-05-24,2025-05-24
203,Pervis Estupiñán,,Ecuador,Brighton & Hove Albion,1 (0),2025-05-24,2025-05-24
